暹羅，古赤土國，後分爲二。一曰暹，一曰羅斛。	Khi xưa Xiêm La là nước Xích Thổ, sau chia làm 2 nước, một nước gọi là Xiêm, một nước là La Hộc.
十五年，遣使入貢。賜使臣七品朝服，使之演習，及趨庭跪拜竝合禮節。帝嘉獎之，諭禮部曰：「彼國僻處遐陬，結繩爲政，自耕而食，風俗猶存古樸。	Năm thứ 15, sai sứ sang cống, vua cho sứ thần bộ đại triều thất phẩm, bắt phải diễn tập và quỳ lạy ở sân rồng, đều hợp lễ tiết cả, vua khen ngợi dụ bộ Lễ rằng: Nước họ ở mãi phương xa hẻo lánh, thắt nút dây làm việc chính trị, tự cày cấy lấy mà ăn, phong tục còn giữ thói cổ chất phác.
然人戴髮含齒，賦稟亦有知能，則何嘗不可爲善。故聖人以夏變夷，亦宜以禮義導之，鱗介可易衣裳矣。况邇來虔修職貢，深明君臣之義，洵爲有道之邦。	Nhưng người đã có tóc có răng, tính trời sinh ra cũng có hiểu biết, man di thành trung hạ, cũng nên lấy lễ nghĩa bảo ban cho họ thời dẫu đến loài có vảy có mai cũng có thể đổi thay mà mặc áo xiêm được; huống hồ nước ấy gần đây dốc lòng sửa chức cống, biết rõ nghĩa vua tôi, tỏ là nước có đạo.
其國長名藍，準賜姓永名保，詔敕直書爲火舍國王，俾知統緒、正名分。	Vậy Quốc trưởng nước ấy tên là Lam, chuẩn cho họ là Vĩnh tên là Bảo. Các chiếu sắc viết thẳng là Hỏa Xá Quốc vương, để biết có đầu mối danh phận.
使臣名緣者，賜姓嶺；名才者，賜姓嶠。再加賞紗幣有差。」	Còn sứ thần tên Duyên thì cho họ là Lĩnh, tên Tài thì cho họ là họ Kiệu; lại thưởng thêm cho sa lụa có thứ bậc khác nhau.
。十八年十一月，恭遇順天高皇后七旬聖壽大慶節，遣使齎方物詣京祝嘏。厚賜宴賚遣還。	Năm thứ 18, tháng 11, gặp ngày thất tuần đại khánh tiết của Thuận Thiên Cao Hoàng hậu, nước ấy sai sứ mang phương vật tới kính chúc thọ, hậu cho ăn yến và ban thưởng rồi cho về.
十二月，國王永保卒，國人循俗，立其甥名列繼爲國長，遣使入貢。賜新嗣王襲姓永，仍舊名列，以昭姓氏。又賜敕書，賞賚優渥。	Tháng 12, Quốc vương là Vĩnh Bảo chết, người trong nước theo phong tục lập cháu gọi bằng cậu là Liệt nối làm Quốc trưởng, sai sứ sang cống, ban cho vị vương mới nối theo họ Vĩnh, nhưng vẫn theo tên cũ là Liệt, cho rõ dòng họ, lại ban cho sắc thư và thưởng rất hậu.
二十一年四月，恭遇聖祖仁皇帝五旬萬壽大慶節，遣使恭齎賀品、貢品二禮竝進。	thứ 21 tháng tư, gặp ngũ tuần vạn thọ đại khánh tiết của Thánh Tổ Nhân Hoàng đế, nước ấy sai sứ mang 2 lễ là hạ phẩm và cống phẩm dâng lên.
厚賜遣還。	Vua nhận rồi bảo về.
會鎭西將軍張明講等奏言：「山靜府報，有水舍蠻長，帶隨從者二人、象二匹到撫嫩蠻接近山卜縣轄，遣人言於縣尉名烈，欲來相省。	Gặp lúc Trấn Tây tướng quân là bọn Trương Minh Giảng tâu nói: Phủ Sơn Tĩnh báo tin có Man trưởng nước Thủy Xá đem theo 2 người và 2 thớt voi tới Man phủ nộp tiến gần huyện hạt Sơn Bốc, sai người nói với viên Huyện úy tên là Liệt rằng muốn lại thăm.
詰之，名烈云：從前，彼蠻長素與藩王相識，每三年一來，藩王送以財物。	Vặn hỏi thời tên Liệt nói: "Từ trước Man trưởng ấy vốn cùng Phiên vương quen biết, cứ 3 năm một lần đến, Phiên vương tặng cho tài vật.
蓋彼有鬼術，所到之處多以物送之。此來不過欲求財物，原無他意。業令名烈託辭使去。」	Bởi họ có quỷ thuật, nên đến đâu phần nhiều đều cho tặng vật, họ đến chuyến này chẳng qua muốn cầu tài vật, nguyên không có ý gì khác cả, tró đã sai tên Liệt mượn cớ khước từ bảo họ đi rồi.
奉諭云：「朕自少曾聞火舍、水舍二國之名，向來惟有火舍輸誠奉貢，而水舍杳無聲息。	Vua dụ rằng: Trẫm lúc nhỏ từng nghe có 2 nước: Hỏa Xá, Thủy Xá, từ trước tới nay, duy có nước Hỏa Xá đến đem lòng thành dâng cống, mà nước Thủy Xá bẵng không có tin tức gì.
今乃忽從異境到來，不妨隨宜慰撫，用示柔懷。	Nay lại bỗng nhiên từ cõi khác tới nơi, tùy nghi mà úy lạo vỗ về, để tỏ lòng yêu mến vỗ yên người ta cũng không hại gì.
諭到日，如彼蠻長尚在山卜地頭，準卽邀回轄莅，延接款待，問以此蠻原委，向來居聚坐落在何處？	Hôm tờ dụ đưa tới, nếu tên Man trưởng kia hãy còn ở địa đầu huyện Sơn Bốc thì chuẩn cho đón về hạt lỵ tiếp, khoản đãi, hỏi xem nguyên thủy bọn Man ấy từ trước tới nay tụ cư ở xứ sở nào?
所接夾在何地方？	Tiếp giáp địa phương nào?
所居有無山川形便，城郭兵民可稱一國？	Chỗ ở có hình thể núi sông cận tiện, thành quách binh dân, đáng gọi là một nước không?
抑或巖穴依棲，亦與蠻、牢一樣？	Hay hoặc nương nhờ hang núi cũng cùng một kiểu như Man Lào?
與夫人民風俗，曾否知有君臣、上下之分？	Lại còn phong tục của nhân dân có biết danh phận vua tôi trên dưới không?
一一周諮詳確，然後遣之。	Nhất nhất hỏi hết cho rõ ràng đích thực, rồi sau hãy để đi.
若他已歸去，其卽轉飭名烈炤此查詢，及問所煉鬼術是何異術？	Nếu họ đã về, thì chuyển sức cho tên Liệt, theo như thế, và tra hỏi cho rõ, và hỏi cả nghề luyện quỷ thuật, là thuật là thế nào?
務得明白以聞。」	Cốt được tỏ rõ tâu lên.
諭至，則彼國長去了。	Tờ dụ phát tới thì người Quốc trưởng kia đã đi rồi.
講等具以入奏。	Bọn Giảng làm bản tâu lên.
又諭：「準鎭西派出屬轄幹員，帶同諳熟里路之名末等，竝通言一人，仍採辦何物彼所尚者齎往，作爲將軍贈好之物體。	Lại xuống dụ chuẩn cho Trấn Tây phái ra nhân viên được việc trong thuộc hạt đi cùng với bọn tên Mạt là người am hiểu lối đi và một người thông ngôn, nhưng phải kiếm tìm vật gì mà họ thích đem đi làm phẩm vật của Tướng quân đưa tặng.
於閒談之間，向彼國長說云：國朝威德遠加，羣方賓服。卽如火舍，現已輸誠奉貢，多荷栽培。彼國與火舍毗連，向來尚因修阻，職貢未通。茲若情願遣使通款，朝廷亦必獎納。	Trong khi nói chuyện nên nói với quốc trưởng ấy rằng: Quốc triều ta uy lực tới cả phương xa, các phương đều chầu phục, tức như nước Hỏa Xá hiện đã đem lòng thành nộp cống, được nhờ ơn gây dựng nhiều, nước họ cùng với Hỏa Xá đất gần liên nhau, từ trước tới nay còn vì đường sá ngăn trở nên việc cống hiến dâng lễ vật, triều đình tất cũng khen ngợi thu nhận.
儻有不願，亦不必彊。	Nếu không muốn cũng không ép.
因隨便訪問山川、封域，以至人民居處風俗，逐一登記遞回，飛章入奏，以悉情狀。」	Nhân tiện hỏi cả núi sông bờ cõi cho đến nhân dân ăn ở phong tục như thế nào ghi chép tất cả tình trạng đem về làm bản đệ tâu lên để rõ tình trạng.
旣而鎭西疏言：「名計、名末等言：彼等聞說二國雖小，而其鬼神靈於臘蠻。	Rồi sau Trấn Tây lại dâng sớ nói là bọn tên Kế tên Mạt nói: Bọn họ nghe nói, hai nước ấy dẫu nhỏ, mà việc quỷ thần thiêng hơn ở Lạp Man.
年前，承藩王派彼等齎物，往求二國鬼神默護。此行，由山卜東向取路前去，經十五日，始到水舍國長居所。	Năm trướ vâng mệnh Phiên vương phái bọn họ mang vật hạng đi tìm quỷ thần hai nước phù hộ, chuyến đi ấy do phía Đông huyện Sơn Bốc tìm đường tiến đi, trải 15 hôm mới tới chỗ Quốc trưởng nước Thủy Xá ở.
其地東夾火舍，西夾山卜縣，南夾顛顛蠻，北夾來蠻。	Đất ấy Đông giáp nước Hỏa Xá, Tây giáp huyện Sơn Bốc, Nam giáp man Đen Đen, Bắc giáp man Lai.
其居處三面阻山，一面曠野。中有民家約一百。	Chỗ ở ba mặt có núi ngăn trở, một mặt là cánh đồng rộng, trong có nhà dân ước 100 nóc.
國長茅舍七間，在民居之東，不設城郭。舍內結架祀神，眷屬、奴僕僅十四五人而已。	Quốc trưởng có 7 gian nhà lợp tranh, ở phía Đông chỗ dân cư, chẳng đặt thành quách gì, trong nhà đóng giá thờ thần, gia quyến và nô bộc độ 14,15 người thôi.
火舍國長居處，隔水舍約三日。其茅屋竝眷屬、奴僕、民居，與水舍略同。	Còn Quốc trưởng nước Hỏa Xá thì ở cách Thủy Xá ước độ 3 ngày đường, về nhà lá và quyến thuộc nô bộc dân cư cùng với Thủy Xá na ná giống.
惟別建一祠，以爲祀神之所。	Duy có dựng riêng một cái đền để làm chỗ thờ thần.
其地皆曠野，無山河之險。	Đất của nước ấy đều cánh đồng rộng, không có núi sông hiểm trở.
彼等初到二國，納其品物。二國長各聚蠻民數十，宰牛一，親代藩王祀神祈禱，不許彼等預見。	Bọn họ khi đến hai nước ấy nộp phẩm vật, thì Quốc trưởng hai nước ấy đều họp dân Man vài chục người, mổ một con trâu, thần thay Phiên vương cúng thần, cầu khẩn, không cho bọn họ dự thấy.
祀訖，以牛肉與彼等各一碗，云：不食，則患病。	Cúng xong, đem thịt trâu cho bọn họ mỗi người đều 1 bát, nói rằng: Không ăn thì có sự đau ốm.
酒則混與淸水，置于壜，以竹管吸而飲之。	Rượu thì đổ lẫn với nước lã cho vào cái chum. Lấy ống trúc hút vào uống.
其國不置僚屬，亦無取兵設刑。	Trong nước không đặt quan chức, cũng không bắt lính đặt hình pháp.
其民不知文字，有假貸，則以結繩爲識。生理，則伐木鍤地栽植，不有耕耡。	Dân không biết chữ, có vay mượn thì lấy dây thắt nút làm ghi; cách sinh nhai thì chặt cây đào đất trồng cấy, không có cày bừa.
歲無供租納稅，國長亦無責取。	Hàng năm không có nộp tô nộp thuế, Quốc trưởng cũng không trách thu.
國長辰或出遊，近者隨人不過三四人，遠者亦不過十餘人，騎象三匹，以葉笠蔽頭，而無傘蓋。其俗：男女相悅，男者備牛酒遞就女家，延所在民來會，便定成婚，大約出分少而出贅多。	Khi Quốc trưởng muốn đi chơi, chỗ gần thì người đi theo độ 3, 4 người, chỗ xa cũng chẳng qua hơn 10 người, cưỡi 3 thớt voi, lấy nón lá che đầu, không có dù lọng, về phong tục hai nước ấy, trai gái bằng lòng nhau, thì bên trai đưa đủ trâu rượu đến nhà gái, mời dân sở tại đến họp, thế là thành Đại ước ra ở riêng thì ít, đi gửi rể thì nhiều.
死者無棺槨，但置于平床上，尊族弔哭，人以飯一小撮納于口內。	Khi chết không quan quách, chỉ đặt lên trên giường, họ hàng đến thăm khóc, mỗi người lấy một nắm cơm nhỏ nhét vào mồm.
滿，則後至者以指挑出其舊，以納其新。	Cơm nhét vào mồm đã đầy rồi, người sau đến lấy tay móc cơm cũ ra, cho cơm mới vào.
滿三日，將尸床穴葬封墳，奠而後返。	Đủ ba hôm đem thây và giường đào huyệt chôn, đắp thành nấm làm lễ cúng rồi về.
其子孫衣服如常。惟三月內散髮。遇諱日，亦以品物奠于墳所。	Con cháu áo mặc vẫn như thường, duy có trong 3 tháng phải xõa tóc, gặp ngày giỗ cũng đem phẩm vật ra cúng ở mộ.
其樂用銅鉦大小五面，銅鑼一面、鼓一面，吉凶均用之。	Về âm nhạc thì dùng chiêng đồng lớn nhỏ 5 chiếc, thanh la đồng 1 chiếc, trống 1 chiếc, việc hiếu hỷ đều dùng cả.
彼等聞說水舍有石二塊、藤鞭一段；火舍有短刀一把，以爲歷代相傳至靈之物。不知何等效驗，而不曾許他人親見。	Bọn họ nghe nói: Thủy Xá có 2 khối đá và 1 đoạn roi mây. Hỏa Xá có 1 chiếc dao ngắn, cho là vật rất thiêng đời đời truyền lại cho nhau, không rõ hiệu nghiệm thế nào mà không cho người khác đến gần để xem.
民有疾病，以微物祈之則愈，人皆神之。	Dân có ốm đau đem lễ vật nhỏ mọn đến cầu khấn thời khỏi, người đều cho là thần.
凡國內諸滀長辰或親到，亦拜伏不敢正視。蓋民俗尚鬼故也。	Di phàm các súc trưởng trong nước thời hoặc thân hành đến đền cũng cúi lạy không dám trông thẳng, vì cớ là tục dân trọng việc quỷ thần.
又聞向來二國長不曾相見，云相見則有一死。	Lại nghe từ trước đến nay 2 Quốc trưởng hai nước ấy không từng ra mắt nhau bao giờ, vì ra mắt nhau thì có một người chết.
國長年老，則傳之孫、姪，不傳子，云：傳之子則不利。彼等回辰，二國長寄許藩王糯米、蔴子各二瓢，蜂、蠟各一片。	Quốc trưởng tuổi già thì truyền cho cháu gọi bằng chú bác, chứ không truyền cho con, vì truyền cho con thì không lợi; khi bọn họ về, 2 Quốc trưởng gửi biếu Phiên vương gạo nếp và vừng mỗi thứ đều 2 bầu và sáp ong đều 1 phiến.
先以火炙，這臘片各自印其掌于上，囑謂：如遇狂風、疾雨、大旱，或兵革，或疾病，則以這蠟燃燈二株，禱呼：水王、火王相護。仍以這米蔴各一撮散擲，則各得遂願。	Trước hết lấy phiến sáp ấy hơ lửa rồi in bàn tay lên trên, dặn rằng nếu gặp gió to mưa dữ, nắng to, hoặc binh đao, tật bệnh, thì lấy miếng sáp ấy đốt làm 2 cây đèn, kêu cầu Thủy vương, Hỏa vương cùng phù hộ, rồi lấy gạo, vừng ấy đều 1 nhúm ném tản mát các nơi, thì đều được thỏa nguyện.
各另寄藩王奴一俘、象牙一枝、犀角一端，以爲往來酬答之物。	Lại đều gửi riêng tặng Phiên vương 1 tên giặc bắt được để làm nô bộc và 1 chiếc ngà voi, 1 chiếc sừng tê, để làm vật qua lại tặng đáp.
名烈言：年前行商，曾到水舍國。行程自山卜至國長所居處約六日，隔火舍國長居處約二日。	Tên Liệt nói: Năm trước đi buôn, từng đến nước Thủy Xá, đường đi từ huyện Sơn Bốc đến chỗ ở của Quốc trưởng, ước 6 ngày đường, cách chỗ ở của Quốc trưởng Hỏa Xá ước 2 ngày đường.
其地東夾火舍，西夾撫嫩蠻，接山甫、山卜、桂林等縣，南北接諸落蠻，不詳所至。	Đất của nước ấy phía Đông giáp Hỏa Xá, phía Tây giáp Man Phủ Nôn và tiếp giáp các huyện: Sơn Phủ, Sơn Bốc, Quế Lâm, phía Nam và Bắc tiếp giáp các Lạc man không rõ đến tận đâu.
此處雖多山溪，亦卑小無名大形便。	Nơi ấy dẫu nhiều núi khe nhưng cũng thấp nhỏ, không rõ hình thể tát.
其所居之滀民約百餘家，所居之室不設屯札捍衞。奴僕二十人上下。火地植禾而食，殆同滀民，其民所以推爲長者，相傳先世畱來有一藤鞭，奉爲靈物。國長于近家處設祠祀之，有事祈禱輒應，未聞別有異術。	Dân ở súc chỗ Quốc trưởng ở ước hơn trăm nhà, nhà của quốc trưởng ở không dựng đồn lũy để ngăn giữ, nô bộ dưới 20 người; đào đất trồng lúa để ăn, cũng giống như dân trong súc, mà dân suy tôn là Quốc trưởng, là vì tương truyền đời trước có để lại một cái roi mây, thờ làm vật thiêng, Quốc trưởng làm đền ở chỗ gần nhà để thờ cái roi ấy, có việc gì đến cầu khẩn là ứng hiệu, chưa nghe thấy có thuật gì lạ khác.
民有疾病，始備禮品，就國長禱之，否則終歲不曾來往。	Dẫu có ốm đau mới sắm lễ phẩm đến Quốc trưởng để cầu khẩn cho, không thì suốt năm không từng qua lại.
國長辰或就諸邑，要求財利其民，但給以微物，原無常供之例。	Quốc trưởng thỉnh thoảng hoặc đến các ấp yêu cầu tài lợi thì dân chỉ cấp cho tý chút, nguyên không có lệ phải thường cung cấp.
其平居相處，猶是蠻、牢。未知君臣、上下之分」云。	Ngày thường cùng ở với nhau cũng như Man Lào, chưa biết có danh phận vua tôi trên dưới.
復諭準鎭西派屬，帶同名末等前往水舍國，再行訪問。已而鎭西土弁、土民起叛，事遂寢。	Vua lại dụ cho thành Trấn Tây phái thuộc hạ đi cùng với bọn tên Mạt đến nước Thủy Xá hỏi lại lần nữa, nhưng vì thổ biền và thổ dân ở Trấn Tây khởi lên làm phản, việc bèn thôi.
其年七月，奉勅，禮部咨飭富安，派人前往火舍查訪事跡，再取路往水舍採訪情形。	Tháng 7 năm ấy, lại sắc cho bộ Lễ tư sức cho tỉnh Phú Yên phái người đến Hỏa Xá xét hỏi sự tình, rồi tìm đường đến Thủy Xá tìm hỏi tình hình.
十二月，富安疏言：「奉派福山屯百戶黎文權等，備齎縐紗、衣裳、鍮釭、白鹽等物項，往水、火二國以送贈；及商賈爲名，因探訪情形。	Tháng 12, tỉnh Phú Yên dâng sớ nói: Vâng mệnh phái cho Bá hộ ở đồn Phúc Sơn và bọn Lê Văn Quyến mang đủ nhiễu sa áo xiêm, đồng thau, muối trắng mọi thứ đến hai nước Thủy Xá, Hỏa Xá đưa tặng và mượn tiếng buôn bán để dò hỏi tình hình.
權等還，言：水舍〈卽前錯稱火舍〉之地，西接火舍，東接省轄福山屯，夾石城稅蠻，北夾平定荒蠻。火舍〈卽眞火舍〉之地，西接山甫，東接水舍，南北俱夾落蠻。二國雖有君長，而無甲兵、城郭，自耕而食，自織而衣，與諸冊長無異。	Khi bọn Quyền trở về nói: Đất nước Thủy Xá (trước kia vẫn gọi là Hỏa Xá), phía Tây tiếp nước Hỏa Xá, phía Đông tiếp giáp đồn Phúc Sơn thuộc tỉnh hạt và giáp thuế Man (108) ở Thạch Thành, phía Bắc giáp hoang Man ở Bình Định; còn đất Hỏa Xá (tức thực là Hỏa Xá), phía Nam và Bắc đều giáp Lạc man, hai nước ấy dẫu có quân trưởng, nhưng không có quân lính, thành quách, tự cày lấy mà ăn, tự dệt lấy mà mặc, cùng với các sách trưởng không khác gì.
惟有揚神依附，爲眾所推，蠻民奉之若神靈耳。	Duy có nêu tiếng thần thánh để nương nhờ, được mọi người tôn lên, dân Man phụng thờ như bậc thần linh mà thôi.
若生殺之權、爭鬭之事，皆由冊長自專，國長寔不預也。	Còn quyền sinh sát. việc tranh đấu đều do ở sách trưởng tự chuyên, Quốc trưởng không dự đến.
相傳陰雨，禱之，卽暑，故稱火王。酷暑，禱之，卽雨，故稱水王。	Tương truyền là khi mưa dầm mà cầu đảo thì mưa, nên gọi là Thủy vương.
權等初至水舍，雇人向導，前往火舍。途間見一處，二山峙立，地勢屋脊，水分兩下，云是水舍、火舍交界處。	Bọn Quyền mới đến Thủy Xá, mượn người dẫn đường, đưa đến nước Hỏa Xá, ở đường thấy một nơi có 2 quả núi đứng cao, địa thế như nóc nhà, nước chia hai bên chảy xuống, đó là nơi giao giới của Thủy Xá, Hỏa Xá.
約行二日，至火舍國長居所。見三面皆山，一面曠野，民居約百餘屋，無有城郭。其國長居屋，亦止一座，中間設竹床一，兩旁傘蓋插立，鉦鼓懸架，左間置大鋼鍋一，土𤭸一，牢象棚二，漆車渠盒一，漆腰盤二。家丁男女十餘人出入，不見國長。頃間，見冊長二日，挾蠻丁二十餘人，各持短刀齊到，謂：向來漢人未嘗至此，須有猪一、酒壜分白鹽三簍，方報國長見之。	Rồi đi ước độ 2 ngày đường đến chỗ ở của Quốc trưởng Hỏa Xá, thấy 3 mặt đều núi, một mặt cánh đồng rộng, dân cư ước độ hơn trăm nóc nhà, gian giữa đặt cái giường tre hai bên cắm dù lọng, chiêng trống treo ở giá, bên tả để 1 cái đồng hồ lớn, 1 cái bình đất, 2 cái bành voi bành bò, 1 cái hộp sơn khảm xà cừ, 2 cái mâm bồng sơn, gia đình trai gái hơn mười người ra vào, không thấy Quốc trưởng; phút chốc thấy hai người sách trưởng dẫn hơn hai mươi người Man đinh đều cầm dao ngắn cùng đến và bảo rằng: Từ trước tới nay, người Kinh chưa từng đến đây, phải có 1 con lợn, 1 chum rượu và 3 giành muối trắng, mới bảo cho Quốc trưởng ra mắt.
權等乃恃買如數。彼冊長、蠻丁卽宰猪切肉，竝酒壜分設竹床上下。	Bọn Quyền bèn cậy người mua đủ số bọn sách trướng, Man đinh tức thì giết lợn thái thịt, và chum rượu thì chia đặt ở trên dưới giường tre.
俄而彼國長出。其人約七十餘，頭帶白布巾，身穿白布衣，下著布袴，腿膝俱露。兩手微斑，立床前密禱。卽上床坐，食肉三片，放管于酒壜暢飲。兩旁鳴鉦擊鼓，家丁四人蠻舞，冊人跪伏，拊髀飲食訖，彼國長喚權等近坐，謂之曰：彼係火舍國，前世常與水舍合貢天朝。指左間大銅鍋、土𤭸，云是天朝頒賞之物，世世奉爲國寶。	Một lát thì Quốc trưởng nước ấy bước ra, trạc người hơn 70 tuổi, đầu bịt khăn vải trắng, mình mặc áo vải trắng, dưới mặc quần vải hở cả đùi và đầu gối, hai tay hơi lốm đốm, đứng ở trước giường mật khấn, rồi lên giường ngồi ăn 3 miếng thịt, cho ống trúc vào một chum rượu uống đầy, hai bên đánh chiêng đánh trống, gia đình 4 người múa kiểu Man, người trong sách quỳ rạp xuống vỗ đùi, ăn uống xong, Quốc trưởng nước ấy mới gọi bọn Quyền đến ngồi gần bảo rằng: Họ là nước Hỏa Xá, đời trước thường cùng với nước Thủy Xá góp chung sang cống thiên triều, rồi tay cho vào cái nồi đồng và cái bình đất ở gian bên tả nói rằng: Đó là vật của thiên triều ban thưởng, đời đời giữ làm bảo vật.
且彼國蠻民見識短小，不敢遠行，無人可遣。故與水舍合禮。數世以來曾備貢品以待，而沒見水舍來報，致仰慕天朝之心無由得達。	Vả lại dân Man nước ấy kiến thức hẹp hòi không dám đi xa, không có người sai khiến, nên cùng với nước Thủy Xá hợp nhau dâng lễ; vài đời nay từng dự bị cống phẩm để đợi, nhưng không thấy nước Thủy Xá đến báo. Vì thế, lòng ngưỡng mộ thiên triều không bởi đâu mà đề bạt lên được.
若復得仍舊合貢，使子孫有所遵守，乃其素願。	Nếu nay lại được như trước cùng hợp cống, để noi giữ, thật là được thỏa nguyện vọng xưa.
權等許諾。返回水舍，具以火舍之言詰問國長永列。永列推歸前代事體如何，彼後生不識。	Bọn Quyền nhặn lời, trở về Thủy Xá, đem lời nói của Hỏa Xá để vặn hỏi Quốc trưởng là Vĩnh Liệt để cho biết là sự thể đời trước thế nào, hắn sinh sau không biết.
又問：「彼是水舍，如何年前稱爲火舍？」	Lại hỏi: Nước hắn là Thủy Xá, sao năm trước gọi là Hỏa Xá?
永列言彼寔是水舍；所稱火舍，係是使人錯應，彼亦不知。	Vĩnh Liệt nói: Nước hắn thực là Thủy Xá, mà xưng là Hỏa Xá là do sứ nhân đáp lầm, hắn cũng không biết.
權等又詰問之原使人麻撑，云：彼國不知文字，彼但聞其國係是依夷依翁也，夷水也，國之西，係是依𠸟依翁也。	Bọn Quyền lại vặn hỏi: Thời người nguyên sứ nhân là Ma Xanh, thì nói rằng nước họ không biết chữ, họ nghe nước họ là Y Di Y Ông, Di nghĩa là thủy; và nước ở phía Tây là Y Vui Y Ông, Vui nghĩa là hỏa.
𠸟，火也。前日承部問及水、火二字，彼不知如何是水、火，惟順口應承，致有錯稱爲火舍之誤。據如所言，則向來奉貢者乃是水舍，未得達者卽眞火舍。	Ngày trước bộ có hỏi hai chữ Thủy, Hỏa, họ không biết thế nào là thủy hỏa, chỉ thuận mồm trả lời nói ấy, thì trước đến nay, sang cống là nước Thủy Xá, mà chưa đến cống được mới thực là nước Hỏa Xá.
而鎭西索敍名計、名末、名烈等所言水舍在西、火舍在東，亦是因錯就錯耳。」	Ở Trấn Tây trình bày lời nói của bọn tên Kế tên Mạt và tên Liệt là Thủy Xá ở Tây, Hỏa Xá ở Đông, cũng là nhân theo cái lầm thành đến chỗ lẫn mà thôi.
。紹治元年二月日，奉準，禮部議改正水舍國號〈原錯稱火舍復曰水舍〉。尋復準眞火舍國長麻獺賜姓久名賴，聽與水舍合貢，貢期仍依明命十二年例，以子、卯、午、酉三年一貢爲定，專由水舍遣使恭遞貢品，〈水舍象牙二枝、犀角二座；火舍象牙一枝、犀角一座。〉于富安行宮行望拜進貢禮，候領敕書、賞項回國，分賜火舍。	Thiệu Trị năm đầu, ngày tháng 2, chuẩn cho bộ Lễ bàn định cải chính lại quốc hiệu nước Thủy Xá (nguyên nước xưng lẫn Hỏa Xá, nay đổi lại là Thủy Xá); rồi lại chuẩn cho Quốc trưởng nước Hỏa Xá thực là Ma Thát họ là họ Cửu tên là Lại, cho cùng với Thủy Xá hợp cống; kỳ tiến cống vẫn theo lệ năm Minh Mạng thứ 12, lấy các năm, Tý, Mão, Ngọ, Dậu định 3 năm 1 lần đến cống, chuyển cho nước Thủy Xá sai sứ kính đệ cống phẩm, (Thủy Xá 2 chiếc ngà voi, 2 cái sừng tê, Hỏa Xá 1 chiếc ngà voi, 1 cái sừng tê) đến tại hành cung Phú Yên bái vọng dâng cống lễ, đợi lĩnh sắc thư và nhận lễ vật về nước chia cho Hỏa Xá.
又以二國心慕朝廷品服，特準於是年六月日遣使來京，行進香竝慶賀、登光二禮。	Lại cho là hai nước trong lòng hâm mộ phẩm phục của triều đình, đặc cách chuẩn cho. Ngày tháng 6 năm ấy sai sứ đến kinh dâng lễ hành hương và lễ khánh hạ đăng quang hai lễ.
禮成，頒給二國長朝服與敕書、綵幣遣回。	Khi làm lễ xong, ban cấp triều phục cho Quốc trưởng hai nước ấy cùng sắc thư vóc lụa rồi cho về.
三年六月入貢。使至富安，言：二國饑疫，情甚拮据。	Năm thứ 3, tháng 6 sang cống, sứ đến Phú Yên nói: Hai nước ấy bị đói kém tật dịch tình hình rất quẫn bách.
帝憫之，準於富安行宮望拜，賞賚遣之。	Vua lấy làm ương, cho vọng bái ở hành cung Phú Yên, ban thưởng cho về.
四年十二月，頒給二國正朔。〈國長官曆各一卷、民曆各五十卷。	Năm thứ 4, tháng 12, ban cấp tháng 1 ngày mồng 1 cho hai nước (Quốc trưởng thì quan lịch đều 1 quyển, dân lịch đều 50 quyển).
〉六年五月，恭遇憲祖章皇帝四旬萬壽大慶節。二國遣使恭進賀品、貢品二禮。	Năm thứ 6, tháng 5, gặp tứ tuần vạn thọ đại khánh tiết của Hiến Tổ Chương Hoàng đế, hai nước sang sứ cung tiến 2 lễ: Lễ vật chúc mừng và cống phẩm vật tiến cống.
賞陪臣山試、嶠木等武階五六品、朝服各一副，宴賚遣還。	Vua thưởng cho bồi thần là bọn Sơn Thí, Kiệu Mộc triều phục ngũ lục phẩm hàng võ mỗi người đều 1 bộ và ban yến, thưởng cho rồi cho về.
自是二國三年一貢，以爲常。	Từ đó hai nước cứ theo lệ thường, 3 năm 1 lần sang cống.
其風俗，言夜不言日，以穀熟爲一歲，而不言年。	Về phong tục thì nói là đêm không nói là ngày, cứ chín là 1 năm, không nói đến năm.
官稱爲籠，使者不敢言籠，故稱麻。	Quan gọi là Lung, sứ giả không dám xưng là Lung, nên gọi là Ma.
其俗不敢服花樣，故凡來貢，所賜紗幣皆用素云。	Tục các nước ấy không dám mặc thứ có cái hoa, nên khi đến cống có ban cho sa, lụa đều dùng hàng trơn cả.
