会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
其二十四气初日晨前夜半黄道日度系属前气自前气摊算即各得所求。求每日午中黄道日度：置一万分以所入气日盈缩分盈加缩减而半之满百为分不满为秒以加其日晨前夜半黄道日度即其日午中日躔黄道宿度及分。求夏至加时黄道日度：置天正冬至加时黄道日度及分秒以二至限及分秒加之满黄道宿次去之不满为夏至加时黄道日度及分秒。	Theo trăm ước, mỗi ngày tính toán sự tròn khuyết, phân chia thành phần giây, cộng thêm và giảm bớt phần dư.
求每日午中黄道积度：以二至加时黄道日度距至所求日午中黄道日度为入二至后黄道积度及分。	Đầy đủ theo hoàng đạo, các sao tiếp theo được loại bỏ, mỗi ngày vào buổi sáng trước khi trời sáng và giữa đêm, hoàng đạo và độ sao cùng phần giây. Hai mươi bốn khí, vào buổi sáng đầu tiên, trước nửa đêm, đường vàng của mặt trời đi qua, khí trước đó tựa như khí đã trải qua, mỗi khí đều đạt được điều mình mong cầu. Cầu mỗi ngày vào giữa trưa, độ hoàng đạo được chia thành mười ngàn phần, dựa vào khí nhập vào, độ ngày tăng giảm, chia đôi cho trăm phần, không đủ thì tính là giây, để cộng thêm vào độ hoàng đạo vào buổi sáng trước nửa đêm, độ hoàng đạo vào giữa trưa, và độ các sao hoàng đạo cùng với các phần. Tìm kiếm thời gian gia tăng vào ngày hạ chí, đặt độ ngày hoàng đạo vào thời điểm đông chí gia tăng, cùng với phút giây, để hai thời điểm chí hạn và phút giây cộng lại, từ đó lấy đi phần không đầy đủ của các chòm sao hoàng đạo, để có được độ ngày hoàng đạo và phút giây vào thời điểm hạ chí gia tăng. Tìm kiếm độ tích của hoàng đạo vào giữa trưa mỗi ngày, cộng thêm độ hoàng đạo vào hai tiết khí, để tính khoảng cách giữa độ hoàng đạo vào giữa trưa của ngày cần tìm với độ tích hoàng đạo sau hai tiết khí và phút.
求每日午中黄道入初末限：视二至后黄道积度在四十三度一十二分、秒八十七以下为初限；以上用减象限馀为入末限。	Cầu mỗi ngày vào giữa trưa, hoàng đạo đi vào giới hạn đầu và cuối, nhìn hai tiết khí sau hoàng đạo tích độ ở bốn mươi ba độ mười hai phút giây tám mươi bảy trở xuống là giới hạn đầu, phía trên dùng giảm phần còn lại của tứ quý làm giới hạn cuối.
其积度满象限去之为二分后黄道积度在四十八度一十八分、秒二十二以下为初限；以上用减象限馀为入末限。	Khi tích độ đầy đủ, rời khỏi góc phần tư sẽ là hai phần, sau đó tích độ hoàng đạo ở bốn mươi tám độ, mười tám phút, hai mươi hai giây trở xuống là giới hạn ban đầu, phía trên dùng để trừ phần dư của góc phần tư sẽ là giới hạn cuối.
求每日午中赤道日度：以所求日午中黄道积度入至后初限、分后末限度及分秒进三位加二十万二千五十少开平方除之所得减去四百四十九半馀在初限者直以二至赤道日度加而命之；在末限者以减象限馀以二分赤道日度加而命之：即每日午中赤道日度。	Tìm kiếm độ ngày giữa trưa tại xích đạo mỗi ngày, lấy độ ngày giữa trưa tại hoàng đạo mà nhập vào sau giới hạn đầu tiên, phân sau giới hạn cuối cùng và độ phân giây tiến ba vị trí, cộng thêm hai mươi vạn hai ngàn năm mươi, rồi lấy căn bậc hai chia cho số đó, trừ đi bốn trăm bốn mươi chín nửa dư. Đối với giới hạn đầu tiên, lấy thẳng hai độ xích đạo ngày cộng vào; đối với giới hạn cuối cùng, lấy trừ đi phần dư của hình quạt và cộng hai độ xích đạo ngày, đó chính là độ ngày giữa trưa tại xích đạo mỗi ngày.
以所求日午中黄道积度入至后末限、分后初限度及分秒进三位用减三十万三千五十少开平方除之所得以减五百五十半馀在初限者直以二分赤道日度加而命之；在末限者以减象限馀以二至赤道日度加而命之：即每日午中赤道日度。	Dựa vào độ tích của hoàng đạo vào giữa trưa mà tìm kiếm, nhập vào giới hạn cuối cùng và giới hạn đầu tiên, cộng với độ và giây, tiến ba vị, dùng để trừ đi ba trăm ngàn ba nghìn năm mươi, sau đó lấy căn bậc hai chia cho kết quả để trừ đi năm trăm năm mươi phần dư. Đối với giới hạn đầu tiên, trực tiếp cộng với hai phần của đường xích đạo, gọi là độ mặt trời; còn đối với giới hạn cuối cùng, trừ đi phần dư của góc vuông, cộng với hai phần của đường xích đạo, gọi là độ mặt trời, tức là độ mặt trời vào giữa trưa mỗi ngày.
求太阳入宫日时刻及分：各置入宫宿度及分秒以其日晨前夜半日度减之馀以二十四乘为时实；以其日太阳行度及分秒为法实如法而一为半时数；不满进二位为刻实；以二十四乘前法除之为刻不满退除为分。	Yêu cầu giờ phút và từng phần khi mặt trời vào cung, cũng như từng độ và từng giây được đặt vào cung tướng. Sau đó, lấy thời gian buổi sáng trước đó và nửa ngày giảm đi, rồi nhân với hai mươi bốn để có thời gian thực. Dựa vào độ và từng giây mà mặt trời di chuyển trong ngày, thực hiện theo quy tắc, nếu số giờ là nửa thì không đủ, tiến lên hai vị trí để có giờ thực. Nếu nhân với hai mươi bốn theo quy tắc trước đó mà không đủ, thì lùi lại để có phút.
其半时命起子正算外即得太阳入宫初正时、刻及分。	Nửa thời điểm ấy, khi mệnh khởi, chính xác tính toán bên ngoài, liền thấy mặt trời vào cung, lúc chính xác ban đầu và phút.
其逐刻日、时及分旧历均其日数从其简略未尽其详。	Thời gian trôi qua từng khoảnh khắc, ngày tháng theo lịch cũ đều tính theo số ngày, từ đó mà giản lược chưa thể diễn đạt đầy đủ.
今但依入宫正术求之即允协天道。	Nay chỉ cần theo đúng phép vào cung mà cầu xin, thì sẽ được thuận theo đạo trời.
步晷漏二至限：一百八十二、分六十二、秒一十八。	Bước quỹ đạo, thời gian hai mùa, giới hạn một trăm tám mươi hai phút, sáu mươi hai giây, mười tám.
象限：九十一、分二十一、秒九。一象度：九十一、分二十一、秒四十三。冬至后初限夏至后末限：六十二日、分二十。	Hình hạn chín mươi mốt phân hai mươi mốt giây chín Một giáp độ chín mươi mốt phân hai mươi mốt giây bốn mươi ba Sau Đông Chí, hạn đầu tiên là sau Hạ Chí, kéo dài sáu mươi hai ngày, chia thành hai mươi.
夏至后初限冬至后末限：一百二十日、分四十二。	Sau tiết hạ chí, hạn đầu mùa đông kéo dài một trăm hai mươi ngày, chia thành bốn mươi hai.
已上分秒母各同一百。冬至岳台晷影常数：一丈二尺八寸三分。	Đã chia giây phút mẹ mỗi thứ đều giống nhau một trăm Đông chí, bóng gương trên núi cao thường đo được một trượng hai thước tám tấc ba phân.
夏至岳台晷影常数：一尺五寸六分。	Vào ngày hạ chí, bóng gương trên núi thường đo được một thước năm tấc sáu phân.
昏明分：一百八十二少。昏明刻：二分三百六十四半。辰刻：八分二百四十三。半辰刻：四分一百二十一半。	Tối sáng phân chia một trăm tám mươi hai phần nhỏ Mờ tối chia làm hai phần ba trăm sáu mươi bốn nửa Chín giờ bốn mươi ba phút Nửa canh khắc bốn phần một trăm hai mươi mốt nửa Khắc pháp bảy trăm hai mươi chín Tìm kiếm khí vào giữa trưa, đặt nơi cầu mong, ngày lớn và nửa phần theo khí vào, kích thước lớn và nhỏ giảm đi, để ngày giữa trưa khí vào, ngày và phần dư.
刻法：七百二十九。求午中入气：置所求日大馀及半法以所入气大、小馀减之为其日午中入气日及馀。求午中中积：置其气中积以午中入气日及馀加之其馀以日法退除为分秒。	Tìm kiếm giữa trưa, tích lũy khí trong lòng, đưa khí vào giữa trưa, ngày tháng còn lại, cộng thêm phần còn lại, theo quy luật mặt trời, loại bỏ để phân chia giây phút.
为所求日午中中积及分秒。	Để đạt được điều mong cầu vào giờ Ngọ, giữa trưa, tích tụ và phân chia từng giây từng phút.
求午中入二至后初末限；置午中中积及分为入冬至后；满二至限去之为入夏至后。	Tìm kiếm giữa trưa vào thời điểm đầu và cuối của hai kỳ, đặt giữa trưa, tích lũy và phân chia cho đến khi vào đông, sau đó rời khỏi hai kỳ để vào hè.
其二至后如在初限已下为入初限；已上覆减二至限馀为入末限。	Cái thứ hai, đến sau như ở trong giới hạn ban đầu đã qua, thì vào giới hạn ban đầu đã qua, giảm đi hai đến giới hạn còn lại, thì vào giới hạn cuối.
求岳台晷影午中定数：冬至后初限、夏至后末限以百通日内分自相乘为实置之；以七百二十五除之所得加一十万六百一十七并入限分折半为法实如法而一为分不满退除为小分其分满十为寸寸满十为尺用减冬至岳台晷影常数即得所求午中晷影定数。	Cầu về bóng đổ của đài Nguyệt vào giữa trưa, xác định số lượng sau đông chí và sau hạ chí, lấy trăm thông trong ngày tự nhân với nhau để đặt thành thực, lấy bảy trăm hai mươi lăm chia đi, kết quả cộng thêm một trăm sáu trăm mười bảy, nhập vào giới hạn phân chia, gấp đôi theo pháp thực, như pháp mà một phần không đủ thì loại bỏ thành phần nhỏ, phần đủ mười sẽ thành thốn, thốn đủ mười sẽ thành xích, dùng để giảm số lượng của đài Nguyệt vào đông chí, thường số tức là đạt được điều cầu. Sau khi tiết Hạ Chí, giới hạn đầu tiên là sau tiết Đông Chí, lấy số ngày trong năm chia cho nhau để tính toán, rồi đặt vào giới hạn phân chia thành chín phần.
夏至后初限、冬至后末限以百通日内分自相乘为实乃置入限分九因再折加一十九万八千七十五为法其夏至前后日如在半限以上者减去半限馀置于上列半限于下以上减下馀以乘上进二位七十七除之所得加法为定法然后除之。	Sau đó, lại gấp đôi và cộng thêm mười chín vạn tám ngàn bảy mươi lăm để làm quy tắc. Những ngày trước và sau tiết Hạ Chí, nếu nằm trong nửa giới hạn thì trừ đi nửa giới hạn, phần còn lại đặt ở trên, nửa giới hạn đặt ở dưới. Phần trên trừ phần dưới, còn lại nhân với số trên, tiến hai vị, bảy mươi bảy chia cho số đó, rồi cộng lại để có quy tắc định sẵn, sau đó lại chia cho số đó.
实如法而一为分不满退除为小分其分满十为寸寸满十为尺以加夏至岳台晷影常数即得所求日午中晷影定数。	Thực như pháp mà một phần không đầy đủ thì loại bỏ, chia nhỏ phần của nó. Phần đầy đủ mười thì được gọi là inch, inch đầy đủ mười thì được gọi là thước. Để thêm vào, vào ngày hạ chí, bóng của đài Ngọc thường số, tức là đạt được điều mong cầu. Giữa trưa, bóng của đài được định số.
求每日日行积度：以午中入气馀乘其日盈缩分日法而一冬至后盈加缩减、夏至后缩加盈减先后数以先加后减中积日及分秒满与不足进退其日为所求日行积度及分秒。	Cầu mỗi ngày hành tích độ để giữa trưa vào khí dư, nhân với ngày tháng thu nhỏ phân ngày pháp mà một đông chí sau thu lớn thêm nhỏ giảm sau hạ chí nhỏ thêm lớn giảm trước sau số để trước thêm sau giảm, trong tích ngày và phân giây đầy đủ và thiếu hụt tiến lùi, ngày đó là tích độ ngày hành và phân giây cần tìm.
求每日赤道内外度：置所求日午中日行积度及分如不满二至限在象限已下为冬至后度；象限已上用减二至限为夏至前度。	Tìm kiếm độ cao của mặt trời vào giữa trưa hàng ngày, cả bên trong và bên ngoài đường xích đạo.
如满二至限去之馀在象限以下为夏至后度；象限以上用减二至限为冬至前度。并置之于上列象限于下以上减下馀以乘上冬至前后五百一十七而一夏至前后四百而一为度不满退除为分以加二至前后度所得用减象限馀置于上列二至限于下以上减下馀以乘上其度、分、秒皆以百通然后乘之。	Nếu tổng độ không đạt đến hai giới hạn trong phần đã chỉ ra, thì trong phần dưới của góc phần tư sẽ là độ sau Đông chí; còn trong phần trên của góc phần tư sẽ dùng để giảm hai giới hạn trước Đông chí. Nếu như đã đầy đủ hai giới hạn, thì phần còn lại ở dưới góc phần tư sẽ được tính từ sau hạ chí, còn phần trên góc phần tư sẽ được tính bằng cách trừ hai giới hạn trước đông chí.
退一位如三十四万八千八百五十六而一为秒满百为分分满百为度即所求日黄道去赤道内外度及分。	```json Lùi một bậc như ba mươi bốn vạn tám nghìn tám trăm năm mươi sáu, một là giây, trăm là phút, phút đầy trăm là độ, tức là những gì cần tìm về ngày, hoàng đạo, khoảng cách từ xích đạo vào trong và ra ngoài độ và phút.
冬至前后为外夏至前后为内。	Trước và sau Đông chí là mùa Hạ bên ngoài, trước và sau Hạ chí là mùa Nội.
求每日日出入分晨昏分半昼分：置所求日黄道去赤道内外度及分以三百六十三乘之进一位如二百三十九而一所得以加减一千八百二十二半赤道内以减赤道外以加。	Cầu mỗi ngày mặt trời mọc và lặn, phân chia sáng tối, phân chia nửa ngày, đặt ra yêu cầu về độ dài của đường hoàng đạo so với đường xích đạo, cả bên trong lẫn bên ngoài, và chia cho ba trăm sáu mươi ba, rồi tiến một vị như hai trăm ba mươi chín, và một số thu được để cộng trừ một ngàn tám trăm hai mươi hai, bên trong xích đạo thì trừ, bên ngoài xích đạo thì cộng.
为所求日日出分；用减日法为日入分。	Để đạt được điều mong cầu, mỗi ngày cần giảm bớt thời gian ban ngày, để dành cho thời gian ban đêm.
以昏明分减日出分为晨分；加日入分为昏分；以日出分减半法为半昼分。	Lấy phần sáng tối phân chia giảm đi phần mặt trời mọc, cộng thêm phần mặt trời lặn để thành phần tối; lấy phần mặt trời mọc giảm đi nửa để thành phần ban ngày.
求每日昼夜刻日出入辰刻：置日出分倍之进一位满刻法为刻不满为分即所求日夜刻；以减百刻馀为昼刻；半夜刻满辰刻为辰数；命子正算外即日出辰刻；以半辰刻加之即命起时初。	Tìm kiếm mỗi ngày đêm, chia giờ mặt trời mọc và lặn theo từng khắc, đặt giờ mặt trời mọc, nhân đôi tiến một vị, đầy đủ khắc pháp là khắc không đầy đủ là phần, tức là tìm kiếm giờ đêm và ngày, giảm bớt trăm khắc còn lại cho giờ ban ngày, khắc giữa đêm là khắc đầy đủ, khắc giờ là số giờ, tính toán ngoài ra, tức là giờ mặt trời mọc cộng thêm nửa khắc giờ, tức là tính toán thời điểm bắt đầu.
以昼刻加之满辰刻为辰数；命日出算外即日入辰刻及分。	Lấy giờ ban ngày cộng với giờ Mãn Thần để tính số giờ của ngày, ngoài ra còn tính giờ mặt trời mọc và giờ mặt trời lặn.
求每更点差刻及逐更点辰刻：置夜刻减去十五刻五而一为更差；又五而一为点差。	Cầu mỗi canh điểm sai khắc và từng canh điểm thần khắc, trừ đi mười lăm khắc năm và một thành canh sai, lại năm và một thành điểm sai.
以昏明刻加日入辰刻即初更辰刻；以更点差刻累加之满辰刻及分去之各得更点所入辰刻及分。	Dựa vào ánh sáng và bóng tối, tính toán thời gian từ lúc mặt trời lặn cho đến lúc canh đầu tiên, từ canh đầu tiên đến canh thứ hai, cộng dồn thời gian theo từng canh, và từ đó phân chia thời gian để đạt được thời điểm chính xác của từng canh.
求每日距中度及每更差度：置所求日黄道去赤道内、外度及分以四千四百三十五乘之如五千八百一十二而一为度不满退除为分以内加外减一百度七十二分、秒七为距中度。	Tìm mỗi ngày khoảng cách từ vĩ độ trung bình và mỗi độ kém hơn, đặt vào khoảng cách từ ngày đến hoàng đạo, tính từ vĩ độ xích đạo bên trong và bên ngoài, chia cho bốn nghìn bốn trăm ba mươi lăm, nhân với năm nghìn tám trăm mười hai, và một phần không đủ thì trừ đi, tính thành phần bên trong, thêm vào bên ngoài, giảm một độ bảy mươi hai phút giây bảy, là khoảng cách từ vĩ độ trung bình.
用减一百六十四度八十一分、秒五十七馀四因退一位为每更差度。	Dùng giảm một trăm sáu mươi bốn độ, tám mươi mốt phút, năm mươi bảy giây dư bốn, do đó lùi một bậc để mỗi lần thay đổi độ.
求昏晓五更及攒点中星：置距中度以其日午中赤道日度加而命之即昏中星所格宿次命为初更中星；以每更差度加而命之即二更中星；以每更差度累加之满赤道宿度去之即逐更及攒点中星；加三十六度六十二分、秒五十七满赤道宿度去之即晓中星。	Cầu mờ sáng năm canh và sao tụ điểm giữa khoảng cách trung độ, lấy ngày giữa trưa tại xích đạo cộng thêm, gọi là sao mờ giữa. Sao mờ giữa được phân chia theo thứ tự, gọi là sao canh đầu, mỗi canh tăng thêm độ, gọi là sao canh hai, mỗi canh cộng dồn độ cho đến khi đầy xích đạo, trừ đi, tức là sao mờ sáng.
求九服晷景：各于所在测冬夏二至晷数乃相减之馀为二至差数。	Cầu chín phục, quang cảnh mỗi nơi đo lường số giờ của đông và hạ, số giờ của hai tiết rồi lấy số chênh lệch giữa hai tiết.
如地在岳台南测夏至晷景在表南者并冬夏二至晷数为二至差数。	Như đất ở phía nam núi Ngọc, đo ánh sáng vào ngày hạ chí, bóng đổ về phía nam, thì số lượng bóng của hai ngày chí đông và chí hạ là chênh lệch của hai ngày chí.
其所求日在冬至后初限、夏至后末限者置岳台冬至晷景常数以所求日岳台午中晷景定数减之馀以其处二至差数乘之如岳台二至差数一丈一尺二寸七分而一所得以减其处冬至晷数即其地其日中晷定数。所求日在夏至后初限、冬至后末限者置所求日岳台午中晷景定数以岳台夏至晷景常数减之馀以其处二至差数乘之如岳台二至差数而一所得以加其处夏至晷数即其地其日中晷定数。	Những gì mà người ta tìm kiếm vào ngày đó, sau khi qua Đông chí, ở giới hạn đầu mùa Hạ, và sau khi qua Đông chí, ở giới hạn cuối mùa Hạ, thì đặt đài núi. Thời gian bóng của Đông chí thường có số cố định, lấy số bóng của thời gian giữa trưa ở đài núi trừ đi, rồi lấy số còn lại nhân với sự chênh lệch giữa hai Đông chí. Như chênh lệch giữa hai Đông chí ở đài núi là một trượng một thước hai phân bảy li, và số đó được lấy để trừ đi số bóng của Đông chí tại nơi đó, thì chính là số bóng giữa trưa của ngày đó. Ngày mà ta tìm kiếm sau tiết hạ chí, vào giới hạn đầu của tiết đông chí, sẽ được đặt tại nơi ta tìm kiếm.
如其处夏至景在表南者以所得之数减其处夏至晷数馀为其地其日中晷定数亦在表南也。	Tại đài núi, bóng của gnomon vào giữa trưa được xác định bằng số lượng cố định. Số này sẽ được giảm đi bởi số lượng cố định của bóng gnomon vào tiết hạ chí, sau đó lấy phần dư nhân với số chênh lệch giữa hai tiết. Như vậy, số chênh lệch giữa hai tiết tại đài núi sẽ được cộng thêm vào số bóng gnomon vào tiết hạ chí, tức là tại vị trí đó, số bóng giữa trưa sẽ được xác định. Nếu nơi đó vào tiết Hạ Chí mà ánh sáng chiếu về phía Nam, thì lấy số thu được trừ đi số giờ bóng của tiết Hạ Chí tại nơi đó, phần còn lại là thời gian của ngày tại nơi đó, số giờ giữa ngày cũng nằm về phía Nam.
其所得之数多于其处夏至晷数即减去夏至晷数馀为其地其日中晷定数在表北也。	Số lượng thu được nhiều hơn số lượng tại điểm hạ chí, tức là trừ đi số lượng tại điểm hạ chí, phần còn lại là đất của họ, số lượng tại điểm giữa ngày được xác định ở phía bắc.
求九服所在昼夜漏刻：各于所在下水漏以定其处冬夏二至夜刻但得一至可矣不必须要冬夏二至。	Cầu chín phục ở nơi nào, ban ngày ban đêm đều phải dùng nước chảy để xác định vị trí. Vào mùa đông và mùa hè, chỉ cần một thời điểm trong đêm là đủ, không nhất thiết phải có cả hai thời điểm của đông và hè.
乃与五十刻相减馀为至差刻。	Sau đó lấy năm mươi khắc trừ đi, còn lại là thời khắc tối thượng.
置所求日黄道去赤道内外度及分以至差刻乘之进一位如二百三十九而一为刻不尽以刻法乘之复八而一为分内减外加五十刻即所求日夜刻；减百刻馀为昼刻。	Đặt số ngày cần tìm vào đường hoàng đạo, tính khoảng cách từ xích đạo ra bên trong và bên ngoài, rồi chia ra để đến độ chênh lệch. Nhân với một bậc, như hai trăm ba mươi chín, mà một là bậc không hết, dùng phép bậc để nhân lại với tám, mà một là phần trong, giảm ngoài thêm năm mươi bậc. Thì số ngày đêm cần tìm sẽ là bậc giảm đi một trăm bậc còn lại là bậc ngày.
其日日出入辰刻及更点差刻、每更点辰刻并依岳台术求之。	Mỗi ngày, mặt trời mọc và lặn, các thời khắc và điểm canh đều được tính toán theo phương pháp của núi Yue.
步月离转周分：二十万八百七十三、秒九百九十。	Bước tháng rời xa, chuyển động vòng quanh hai trăm nghìn tám trăm bảy mươi ba giây chín trăm chín mươi.
转周日：二十七、馀四千四十三、秒九百九十。	Chuyển quanh ngày Chủ nhật, hai mươi bảy, còn bốn nghìn bốn mươi ba giây chín trăm chín mươi.
朔差日：一、馀七千一百一十四、秒九千一十。望策：一十四、馀五千五百七十九。	Tháng Giêng cách một ngày, thêm bảy nghìn một trăm mười bốn giây chín nghìn mười.
弦策：七、馀二千七百八十九半。已上秒母一万。七日：初数六千四百七十八初约分八十九；末数八百一十二末约分一十一。	望策一十四馀五千五百七十九 Dây cung bảy dư hai ngàn bảy trăm tám mươi chín rưỡi Đã lên một vạn giây mẹ Bảy ngày đầu tiên, số là sáu ngàn bốn trăm bảy mươi tám, ước lượng chia ra là chín mươi chín. Số cuối cùng là tám trăm mười hai, ước lượng chia ra là mười một.
十四日：初数五千六百六十六初约分七十八；末数一千六百二十四末约分二十二。二十一日：初数四千八百五十四初约分六十七；末数二千四百三十六末约分三十三。	Ngày mười bốn, đầu số năm nghìn sáu trăm sáu mươi sáu, đầu ước phân bảy mươi tám; cuối số một nghìn sáu trăm hai mươi bốn, cuối ước phân hai mươi hai. Ngày hai mươi mốt, số đầu là bốn nghìn tám trăm năm mươi bốn, ước tính chia cho sáu mươi bảy; số cuối là hai nghìn bốn trăm ba mươi sáu, ước tính chia cho ba mươi ba.
二十八日：初数四千四十三初约分五十五。	Ngày hai mươi tám, đầu tiên tính bốn ngàn bốn mươi ba, đầu tiên ước chia năm mươi lăm.
上弦：九十一度、分三十一、秒四十三。望：一百八十二度、分六十二、秒八十六。下弦：二百七十三度、分九十四、秒二十九。月平行：十三度、分三十六、秒八十七太。已上分、秒母皆同一百。	Thượng huyền chín mươi mốt độ, phân ba mươi mốt giây bốn mươi ba Nhìn về hướng một trăm tám mươi hai độ, phân sáu mươi hai, giây tám mươi sáu Tháng âm thứ hai trăm bảy mươi ba độ, phân chín mươi bốn giây hai mươi chín Mặt trăng ngang hàng mười ba độ, phút ba mươi sáu giây, tám mươi bảy Đã phân chia từng giây từng phút, mẹ đều giống nhau một trăm.
求天正十一月经朔入转：置天正十一月经朔加时积分以转周分及秒去之不尽满日法除之为日不满为馀秒命日算外即所求年天正十一月经朔加时入转日及馀秒。	Cầu trời tháng 11 năm Thiên Chính, theo lịch mới, thêm giờ vào tháng 11 năm Thiên Chính, cộng dồn thời gian để chuyển đổi vòng tuần hoàn và giây, loại bỏ những phần không đủ, theo quy luật của mặt trời, trừ đi những phần không đủ để thành giây dư. Tính toán ngày, ngoài ra, chính là năm cầu xin, tháng 11 năm Thiên Chính, thêm giờ vào ngày và giây dư.
若以朔差日及馀秒加之满转周日及馀秒去之即次朔加时入转日。	Nếu lấy sự chênh lệch của ngày đầu tháng và giây còn lại cộng vào vòng quay của mặt trăng và giây còn lại, thì tiếp theo ngày đầu tháng sẽ thêm giờ vào vòng quay của mặt trời.
求弦望入转：各因其月经朔加时入转日及馀秒以弦策累加之去命如前即上弦、望及下弦经日加时入转日及馀秒。求朔弦望入转朏朒定数：置入转馀以其日算外损益率乘之如日法而一所得以损益其下朏朒积为定数。	Cầu dây vọng vào chuyển từng theo kỳ nguyệt tăng thêm thời gian vào chuyển nhật cùng dư giây để dây sách tích lũy như trước, tức là thượng dây vọng và hạ dây theo nhật tăng thêm thời gian vào chuyển nhật cùng dư giây. Cầu tháng mới, ngắm nhìn vào sự chuyển động của các thiên thể, xác định số lượng đặt vào sự chuyển động dư thừa, theo cách tính toán ngày, tổn thất và lợi nhuận tỷ lệ nhân với nó, như phương pháp tính ngày mà một khi đã thu được, sẽ tổn thất và lợi nhuận tích lũy dưới các thiên thể trở thành số cố định.
其四七日下馀如初数已下者初率乘之初数而一以损益朏朒为定数。	Ngày bốn mươi bảy, phần còn lại như số ban đầu, đã giảm đi một phần theo số ban đầu và một để điều chỉnh số lượng.
如初数已上者以初数减之馀乘末率末数而一用减初率馀加朏朒为定数。	Như số ban đầu đã nêu, lấy số ban đầu trừ đi, phần còn lại nhân với tỷ lệ cuối cùng, số cuối cùng mà một lần dùng trừ đi tỷ lệ ban đầu, phần còn lại cộng với số cố định.
其十四日下馀如初数已上者初数减之馀乘末率末数而一为朏朒定数。	Vào ngày thứ mười bốn, phần còn lại như số ban đầu đã nêu, số ban đầu giảm đi, phần còn lại nhân với tỷ lệ cuối cùng, số cuối cùng và một trở thành số định sẵn.
求朔弦望定日：各置经朔、弦、望小馀以入气、入转朏朒定数朏减朒加之满与不足进退大馀命己卯算外各得定日日辰及馀。	Yêu cầu xác định ngày mùng một và ngày rằm, mỗi ngày đều đặt ra các số nhỏ để vào khí, vào chuyển động, xác định số lượng, giảm bớt, tăng thêm cho đủ và thiếu, tiến lùi theo đại số, tự mình tính toán ngoài ra mỗi ngày đều có thể xác định ngày tháng và số dư.
定朔干名与后朔干名同者月大不同者月小其月内无中气者为闰月。	Định sóc canh danh và hậu sóc canh danh giống nhau thì tháng lớn, khác nhau thì tháng nhỏ; tháng nào không có trung khí thì gọi là tháng nhuận.
凡注历观定朔小馀秋分后在日法四分之三已上者进一日；春分后定朔日出分差如春分之日者三约之用减四分之三；定朔小馀及此数已上者亦进一日；或当交亏初在日入已前者其朔不进。	Nếu chú thích lịch quan sát định tháng nhỏ hơn vào mùa thu phân sau khi đã đạt ba phần tư của ngày, thì sẽ tiến thêm một ngày. Sau khi mùa xuân phân, ngày định tháng sẽ được tính theo cách giống như ngày mùa xuân phân, ba lần tính toán sẽ giảm bớt ba phần tư của tháng nhỏ hơn và những số này đã đạt hoặc vượt qua thì cũng sẽ tiến thêm một ngày. Hoặc nếu vào lúc giao thời, trước khi mặt trời lặn, thì tháng mới sẽ không được tiến.
弦、望定小馀不满日出分者退一日；望若有食亏初在日出已前者定望小馀进满日出分亦进一日。	Nếu mong ước chưa đạt được, thì khi mặt trời mọc, hãy lùi lại một ngày. Nếu như có sự thiếu hụt trong thời gian trước khi mặt trời mọc, thì hãy tiến tới một ngày khi mong ước đã đạt được.
又月行九道迟疾有三大二小；日行盈缩累增损之则有四大三小理数然也。	Lại có tháng đi chín con đường, chậm nhanh có ba lớn hai nhỏ; mặt trời đi, đầy vơi, tích lũy tăng giảm, thì có bốn lớn ba nhỏ, lý số như vậy.
若俯循常仪当察加时早晚随其所近而进退之使不过三大二小。	Nếu cúi xuống theo quy tắc thường lệ thì phải chú ý đến thời gian sớm muộn, gần xa mà tiến lùi, không quá ba lớn hai nhỏ.
求定朔弦望加时日所在度：置定朔、弦、望约馀副之以乘其日盈缩分万约之所得盈加缩减其副满百为分分满百为度以加其日夜半日度命之各得其日加时日躔黄道宿次。	Cầu định tháng, xác định thời gian của ngày và đêm, đặt ra quy tắc cho việc tính toán các ngày trăng tròn và trăng khuyết, từ đó tính toán các ngày tháng theo chu kỳ của mặt trời và mặt trăng. Cần phải điều chỉnh các ngày tháng sao cho phù hợp với chu kỳ của vũ trụ, để mỗi ngày và đêm đều đạt được sự cân bằng, theo quy luật của thiên văn học.
求平交日辰：置交终日及馀秒以其月经朔加时入交泛日及馀秒减之馀为平交入其月经朔加时后日算及馀秒以加减其月经朔大、小馀其大馀命己卯算外即平交日辰及馀秒。	Tìm ngày giờ giao hội, đặt giao hội suốt ngày cùng với những giây còn lại, theo tháng âm lịch mà thêm giờ vào giao hội, rồi trừ đi những giây còn lại. Sau đó, tính toán ngày theo tháng âm lịch và những giây còn lại, cộng và trừ theo kích thước của tháng âm lịch, giữ lại phần lớn. Phần còn lại là ngày giờ giao hội cùng với những giây còn lại.
求次交者以交终日及馀秒加之大馀满纪法去之命如前即次平交日辰及馀秒。	Cầu những ngày giao nhau để giao kết suốt ngày và thêm vào những giây còn lại, theo quy luật lớn của thời gian, bỏ đi như trước, tức là ngày tháng giao nhau và những giây còn lại.
