子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
子曰:恕乎！	Khổng tử nói: Đó là chữ “thứ”.
己所不欲,勿施於人。	Việc gì mình không muốn thì đừng làm cho người khác.
子曰:吾之於人也，谁毁谁誉？	Khổng tử nói: Ta sống với người, có chê ai khen ai quá lố đâu?
如有所誉者，其有所试矣。	Nếu khen ai ta phải xem xét thực tế để biết rõ người ấy.
斯民也，三代之所以直道而行也。	Phê phán người đời nay, ta dựa theo đạo đức ngay thẳng ba đời Hạ, Thương, Chu.
子曰：吾犹及史之阙文也，有马者借人乘之,今亡矣夫。	Khổng tử nói: Ta thấy quan chép sử bỏ trống những điều nghi vấn, lại biết có người chủ ngựa dám cho người khác mượn ngựa. Bây giờ không còn loại người ấy nữa.
子曰：巧言乱德。	Khổng tử nói: Lời xảo trá có thể làm bại hoại đạo đức.
小不忍则乱大谋。	Không nhẫn nại việc nhỏ thì có thể làm hỏng việc lớn.
子曰：众恶之，必察焉；众好之，必察焉。	Khổng tử nói: Người bị mọi người ghét, ta phải xét xem có đúng không. Người được mọi người ưa thích, ta cũng phải xem có thực không.
子曰：人能弘道，非道弘人。	Khổng tử nói: Người phải làm cho đạo được mở rộng, chứ không dùng đạo để phô trương cho mình.
子曰：过而不改，是谓过矣。	Khổng tử nói: Có sai lầm mà không sửa, đấy mới thật là sai lầm.
子曰：吾尝终日不食，终夜不寝，以思，无益，不如学也。	Khổng tử nói: Ta từng suốt ngày không ăn cơm, thức trắng cả đêm để suy tư. Nhưng vô ích, không bằng đi học.
子曰:君子谋道不谋食。	Khổng tử nói: Quân tử chăm lo cầu đạo chứ không cầu ăn.
耕也,馁在其中矣；学也,禄在兲中矣。	Người cày ruộng khi gặp mất mùa khó tránh khỏi đói kém. Người chăm học có thể làm quan.
君子忧道不忧贫.	Quân tử chỉ lo đạo chứ không lo về nghèo.
子曰：知及之,仁不能守之；虽得之，必失之；知及之,仁能守之，不庄以涖之，则民不敬。知及之，仁能守之，庄以涖之，动之不以礼，未善也。	Khổng tử nói: Người có đủ trí tuệ nhưng không biết giữ đức nhân thì có nhiều kiến thức rồi cũng bỏ mất. Người có đủ trí tuệ lại biết giữ đức nhân nhưng nếu thiếu thái độ nghiêm túc khi đến với dân thì dân cũng không kính trọng. Người có đủ trí tuệ, biết giữ đức nhân lại đến với dân nghiêm túc cẩn thận nhưng không biết dùng lễ tiết kết hợp để cổ vũ dân làm việc thiện thì cũng không hoàn toàn tốt đẹp.
子曰：君子不可小知而可大受也，小人不可大受而可小知也。	Khổng tử nói: Quân tử có thể không biết việc nhỏ nhặt, nhưng có thể đảm đương việc lớn. Kẻ tiểu nhân không làm được việc lớn nhưng có thể biết việc nhỏ nhặt.
子曰：民之於仁也,甚於水火。	Khổng tử nói: Nhân dân cần đức nhân hơn cần lửa và nước.
水火，吾见蹈而死者矣，未见蹈仁而死者也。	Ta từng thấy người dẫm vào lửa và nước mà chết, chưa thấy ai dẫm vào đức nhân mà chết bao giờ.
子曰:当仁，不让於师。	Khổng tử nói: Người thẳng thắn thì không nhường nhịn cả thầy dạy mình.
子曰：君子贞而不谅.	Khổng tử nói: Quân tử giữ vững khí tiết nhưng biết bao dung người khác (kém hơn mình).
子曰：事君，敬兲事而后兲食。	Khổng tử nói: Thờ vua phải tận tâm, sau mới nghĩ đến bổng lộc.
子曰：有教无类。	Khổng tử nói: Dạy người, ta không phân biệt thứ hạng, giàu nghèo, thiện, ác, dở hay.
子曰：道不同，不相为谋。	Khổng tử nói: Người không cùng theo một đạo lý thì không thể ngồi bàn việc cùng được.
子曰：辞达而已矣。	Khổng tử nói: Lời văn đủ diễn tả ý tứ là được rồi.
师冕见,及阶,子曰:“阶也”及席，子曰:“席也”。	Sư Miện (quan nhạc bị mù) đi tới bậc thềm, Khổng tử nói: Đây là bậc thềm‟, rồi nói: Tới chỗ chiếu ngồi‟.
皆坐,子告之曰:某在斯，某在斯。	Khi mọi người an tọa, Khổng tử giới thiệu từng người Người này là… Người này là…‟.
师冕出,子张问曰:与师言之道与？	Khi Sư Miện về rồi, Tử Trương hỏi Khổng tử: Đó là đạo nói chuyện với quan nhạc sư phải không?
子曰：“然，固相师之道也”。	Khổng tử đáp: Phải rồi, đạo giúp đỡ quan nhạc sư mù lòa.
季氏将伐颛臾。	Họ Qu ý chuẩn bị chinh phạt nước Chuyên Du.
冉有,季路见於孔子曰:“季氏将有事於颛臾”.	Nhiễm Hữu, Quý Lộ đến gặp Khổng tử, nói: “Họ Quý sắp gây sự với nước Chuyên Du”.
孔子曰：求！无乃尔是过与？	Khổng tử nói: Nhiễm Cầu, đây không phải sai lầm của ngươi ư?
夫颛臾,昔者先王以为东蒙主,且在城邦之中矣,是社稷之臣也。何以伐为？冉有曰：夫子欲之，吾二臣者皆不欲也.	Đối với nước Chuyên Du, thiên tử đã giao cho họ chủ trì lễ tế ở núi Đông Mông, thuộc lãnh thổ nước Lỗ, vì sao lại đánh nước Chuyên Du?. Nhiễm Hữu nói: Đây là do họ Quý muốn chinh phạt, hai chúng con là cấp dưới đều không muốn vậy.
孔子曰：求！周任有言曰：陈力就列,不能者止‟,危而不持,颠而不扶,则将焉用彼相矣？	Khổng tử nói: Nhiễm Hữu, quan chép sử Chu Nhiệm từng nói: “có thể tận lực làm bề tôi thì giữ chức vụ, nếu không tận lực được thì nên thôi chức”. Nếu người chủ gặp nguy hiểm mà không giúp, thấy chủ sắp ngã mà không đỡ, quan chức như các ngươi có tác dụng gì?
且尔言过矣,虎兕出於柙,龟玉毁於椟中,是谁之过与？	Vả lại các ngươi nói sai quá rồi, giữ chuồng mà để con hổ, con trâu xổng chuồng, kẻ giữ tráp mà để ngọc quí mai rùa bị hư hỏng trong tráp là lỗi tại ai?.
冉有曰：今夫颛臾，固而近於费。今不取,后世必为子孙忧.	Nhiễm Hữu nói: Tường thành của nước Chuyên Du kiên cố lắm, hơn nữa lại ở gần ấp Phí, bây giờ không chiếm lấy, sẽ để mối lo cho con cháu về sau.
孔子曰：求！君子疾夫舍曰欲之而必为之辞。	Khổng tử nói: Nhiễm Hữu, người quân tử ghét nhất là không dám trực tiếp nói ra tham muốn của mình mà lại tìm cớ khác.
丘也闻有国有家者,不患寡而患不均,不患贫而患不安。	Ta từng nghe nói, vua chư hầu có nước, quan đại phu có nhà chẳng buồn vì dân ít, mà buồn vì của cải phân phối không đều, không sợ nghèo mà sợ không yên ổn.
盖均无贫,和无寡，安无倾。	Của cải chia công bằng thì dân không nghèo nữa. Dân yên ổn thì không cảm thấy người ít, nước yên sẽ không còn ngả nghiêng nữa.
夫如是,故远人不服,则修文德以来之。	Nếu biết người nơi xa (láng giềng) không qui phục thì phải biết sửa văn đức của mình làm cho họ phục mà đến.
既来之,则安之。	Họ đến rồi thì nghĩ cách cho họ được yên…
今由与求也,相夫子，远人不服而不能来也，邦分崩离析而不能守也；而谋动干戈於邦内。	Hiện nay trò Do và trò Hữu phụ tá họ Quý, biết người ở xa không qui phục mà chẳng biết cách làm họ đến, nước nhà phân rẽ mà không biết cách bảo toàn, lại còn muốn binh đao…
吾恐季孙之忧,不在颛臾,而在萧墙之内也。	Ta sợ nỗi lo của họ Quý không phải ở nước Chuyên Du, mà ở trong nội bộ vậy.
孔子曰:天下有道，则礼乐征伐自天子出；天下无道,则礼乐征伐自诸侯出。	Khổng tử nói: Thiên hạ có đạo thì lễ nhạc và hiệu lệnh chinh phạt đều ở trong tay thiên tử. Thiên hạ vô đạo thì lễ nhạc và hiệu lệnh chinh phạt ở trong tay vua chư hầu.
自诸侯出,盖十世希不失矣；自大夫出,亓世希不失矣；陪臣执国命,三世希不失矣。	Quyết định của vua chư hầu làm ra quá lắm tồn tại được 10 đời thì mất nước. Quyết định của đại phu làm ra chỉ truyền đi nhiều lắm được 5 đời thì mất nước. Quyết định do gia thần làm ra được truyền không quá 3 đời thì mất nước.
天下有道,则政不在大夫。天下有道,则庶人不议.	Thiên hạ có đạo thì người dân bình thường chẳng có điều gì phải bàn luận.
孔子曰:禄之去公室亓世矣，政逮於大夫四世矣,故夫三桓之子孙微矣.	Khổng tử nói: Lộc không còn ở triều đình (Lỗ quốc) 5 đời rồi, chính quyền trong tay đại phu đã 4 đời. Vậy con cháu ba nhà đại phu (họ Quí, Mạnh, Thúc) hiện nay đang lúc suy sụp rồi.
孔子曰:益者三友,损者三友.友直,友谅,友多闻,益矣。友便辟,友善柔,友便侫,损矣.	Bạn có ích gồm ba loại: bạn ngay thẳng, bạn thành thực, bạn có kiến thức sâu rộng. Bạn có hại cũng ba loại: Bạn giả bộ uy nghi, bạn khéo chiều chuộng, bạn ưa siểm nịnh.
孔子曰：益者三乐，损者三乐。	Điều thích thú có ích gồm ba loại:.
乐节礼乐,乐道人之善,乐多贤友,益矣。	Thích nghi thức lễ phép, thích nói điều hay của kẻ khác, thích có nhiều bạn hiền. Sự thích thú có hại cũng gồm 3 thứ:.
乐骄乐,乐佚游,乐晏乐,损矣.	Thích nhạc ủy mị, ru ngủ, nhố nhăng. Thích chơi bừa bãi phóng túng Thích yến tiệc say sưa quá độ.
孔子曰:侍於君子有三愆:言未及之而言谓之躁,言及之而不言谓之隐,未见颜色而言谓之瞽.	Khổng tử nói Ngồi hầu chuyện người quân tử có thể mắc 3 sai lầm này. Chưa đến lúc nói đã tranh nói, gọi là hấp tấp. Đến lúc nói lại không chịu nói là người giấu diếm. Không nhìn sắc mặt của người quân tử mà cứ thao thao bất tuyệt là kẻ mù quáng.
孔子曰:君子有三戒：少之时,血气未定，戒之在色；及兲壮也，血气方刚，戒之在斗；及其老也，血气既衰，戒之在得.	Khổng tử nói: Quân tử có ba việc phòng ngừa. 1. Lúc nhỏ tuổi huyết khí chưa ổn định phải tránh ham nữ sắc. 2. Khi đã trưởng thành huyết khí đã thịnh vượng phải phòng ngừa tính ham tranh đấu 3. Khi về già huyết khí suy nhược, cần tránh tính tự đắc ham được hơn người khác.
孔子曰:君子有三畏：畏天命,畏大人,畏圣人之言。	Khổng tử nói: Quân tử có ba điều sợ. Sợ mệnh trời. Sợ bậc đại nhân. Sợ lời nói của thánh nhân.
小人不知天命而不畏也,狎大人,侮圣人之言.	Tiểu nhân không biết thiên mệnh nên không sợ, coi nhờn đại nhân, khinh lời thánh nhân.
孔子曰：生而知之者,上也；学而知之者,次也；困而学之,又兲次也；困而不学，民斯为下矣.	Khổng tử nói:(Có ba loại người). Sinh ra đã biết đạo lí là người bậc trên cùng. Học rồi mới biết đạo lí là bậc thứ nhì. Gặp khó khăn mới chịu đi học là bậc thấp hơn, người kém nhất.
孔子曰：君子有九思：视思明,听思聪，色思温,貌思恭,言思忠,事思敬,疑思问,忿思难,见得思义.	Khổng tử nói: Quân tử có 9 điều lo nghĩ 1. Khi nhìn, phải xem cho kĩ. 2. Khi nghe, phải biết chắc đã nghe thông tỏ. 3. Khi chưa rõ việc gì, cần tìm người hỏi. 4. Sắc mặt khi đối đãi giao tiếp có ôn hòa không. 5. Thái độ giao tiếp với người đã cung kính chưa Nói chuyện với người có trung thực không. 7. Làm việc với người đã nghiêm túc chưa. 8. Khi giận dữ phải nghĩ đến hậu hoạ, khó khăn về sau. 9. Khi thấy mối lợi, nghĩ xem có phạm vào điều bất nghĩa không.
子曰：见善如不及,见不善如探汤。	Khổng tử: Nhìn thấy người thiện như theo chẳng kịp, thấy kẻ bất thiện thì như rờ tay phải nước sôi.
吾见其人矣,吾闻其语矣。	Ta đã nhìn thấy người như vậy, nghe người xưa nói như thế.
隐居以求其志,行义以达其道。	Đi ở ẩn để giữ trọn cái chí của mình, làm việc nghĩa để đạt được cái đạo của mình.
吾闻其语矣,未见其人也.	Ta đã nghe người xưa nói vậy nhưng chưa thấy người nào như vậy.
齐景公有马千驷，死之日，民无德而称焉。	Vua Tề Cảnh công có nghìn cỗ xe bốn ngựa. Ngày vua chết, dân chúng chẳng thấy ngài có đức hạnh gì để ca tụng.
伯夷叔齐饿死於首阳之下，民到於今称之。	Bá Di, Thúc Tề chịu chết đói dưới chân núi Thủ Dương để lại đạo đức ngày nay dân chúng vẫn ca tụng.
兲斯之谓与？	Những người ấy chẳng phải như vậy sao?
陈亢问於伯鱼曰:子亦有异闻乎?	Trần Cao hỏi Bá Ngư (con Khổng tử): Nghe thầy dạy có điều gì lạ không?
对曰:未也。	Bá Ngư trả lời: Chưa thấy.
尝独立,鲤趋而过庭。	Một hôm cha tôi đứng một mình, tôi nhẹ nhàng đi qua sân.
曰:学诗乎？	Cha tôi hỏi: Đã học Kinh Thi chưa?
‟对曰:未也‟。	Tôi đáp: con chưa học.
不学诗,无以言。	Cha nói: Không học Kinh Thi biết gì mà nói chuyện.
‟鲤退而学诗。	Sau tôi lui về học Kinh Thi.
他日又独立,鲤趋而过庭。曰:学礼乎？	Lại hôm khác, cha tôi cũng đứng một mình tôi lễ phép đi qua, cha tôi lại hỏi “đã học kinh Lễ chưa?”.
对曰：未也‟。	Tôi thưa rằng chưa học.
不学礼,无以立。	Cha tôi bảo: Không học kinh Lễ thì không có cách gì lập thân.
鲤退而学礼。	Sau đó tôi học kinh Lễ…
闻斯二者.	Đó, tôi chỉ nghe thấy hai việc này.
陈亢退而喜曰：问一得三。闻诗,闻礼,又闻君子之远其子也.	Trần Cao trở về vui mừng nói: Mình hỏi một việc mà biết được ba việc, đó là phải học Kinh Thi, kinh Lễ, lại biết rằng bậc quân tử đối với con cái cũng không thân cận hơn hay dạy dỗ đặc biệt hơn.
邦君之妻,君称之曰夫人,夫人自称曰小童；邦人称之曰君夫人,称诸异邦曰寡小君;异邦人称之亦曰君夫人。	Vợ vua chư hầu gọi là “phu nhân”, phu nhân tự xưng mình là “tiểu đồng”. Người dân gọi các bà là “quân phu nhân”. Vua xưng với vua nước bạn là “quả tiểu quân”, người nước khác vẫn gọi vợ vua là “quân phu nhân”.
阳货欲见孔子,孔子不见,归孔子豚。	Dương Hóa muốn gặp Khổng tử nhưng ông tránh mặt. Dương Hoá để lại một con lợn luộc làm quà biếu.
孔子时其亡也,而往拜之,遇诸涂。	Khổng tử nhân dịp Dương Hóa đi vắng, đến nhà bái tạ. Không ngờ hai người gặp nhau giữa đường.
谓孔子曰:来！予与尔言。	Dương Hóa nói, lại đây ta có chuyện muốn nói với ông.
曰:怀其宝而迷其邦,可谓仁乎?	Dương Hóa hỏi: “Có đạo đức nhưng mặc cho quốc gia mê muội, có thể gọi là người có nhân được không?”.
曰:“不可”。	Khổng tử đáp: Không thể.
好从事而亟失时,可谓知乎?	Dương Hóa lại hỏi: Thích làm quan nhưng lại luôn bỏ lỡ thời cơ, có thể gọi là người trí được không?
曰:“不可,日月逝矣,岁不我与”。	Khổng tử đáp: Không thể.. Dương Hóa lại nói: Ngày tháng trôi qua không bao giờ trở lại, tuổi chẳng đợi chờ ta.
孔子曰:诺,吾将仕矣。	Khổng tử nói: Được, ta ra làm quan vậy.
子曰：性相近也,习相远也。	Khổng tử nói: Khi mới sinh ra, tính nết người ta gần giống nhau, về sau tập quán khác nhau nên tính tình sẽ khác xa nhau.
子曰：唯上知与下愚不移。	Khổng tử nói: Chỉ có bậc thượng trí (trí tuệ cao nhất) và bậc hạ ngu (ngu hết cỡ) là không thể thay đổi được.
子之武城,闻弦歌之声。	Khổng tử đến ấp Vũ Thành, nghe tiếng đàn tiếng hát.
夫子莞尔而笑,曰：割鸡焉用牛刀？	Khổng tử mỉm cười nói: Giết gà sao phải dùng dao mổ trâu?
子游对曰：“昔者偃也闻诸夫子曰:”君子学道则爱人,小人学道则易使也‟。	Tử Du thưa rằng: “Trước con nghe thầy giảng rằng quân tử học đạo sẽ yêu người, tiểu nhân học đạo dễ sai khiến”.
子曰：二三子！偃之言是也。	Khổng tử liền nói: Này các ngươi, trò Yển (Tử Lộ) nói phải đấy.
前言戏之耳。	Ta chỉ nói đùa đó thôi.
公山弗扰以费畔,召,子欲往。	Công Sơn Phất Nhiễu giữ đất Phí gây chính biến, mời Khổng tử đến giúp.
子路不悦,曰：“末之也已，何必公山氏之之也”。	Khổng tử muốn đi. Tử Lộ không vui nói “Không có chỗ đi thì thôi, sao phải đến chỗ Công Sơn Phất Nhiễu?”.
子曰:夫召我者，而岂徒哉？	Khổng tử trả lời: Người gọi ta đâu phải để ta ngồi không.
如有用我者，吾其为东周乎？	Nếu dùng ta thì ta sẽ làm cho đạo nhà Chu ở phương Đông phục hưng được.
子张问仁於孔子。	Tử Trương hỏi về đạo nhân.
孔子曰:“能行亓者於天下为仁矣”。	Khổng tử nói: Làm được 5 điều mới gọi là người nhân.
请问之。	Tử Trương xin giải thích.
曰:恭,宽,信,敏,惠。	Khổng tử nói: Cung, khoan, tín, mẫn, huệ.
恭则不侮,宽则得众,信则人任焉,敏则有功，惠则足以使人。	Cung kính thì không bị khinh nhờn, khoan dung thì được lòng người, tín thực thì được tin cậy, mẫn cán thì có công, ban ân huệ thì dễ sử dụng người.
佛肸召,子欲往。	Phật Hật mời thầy, Khổng tử muốn đi.
子路曰：昔者由也闻诸夫子曰：亲於兲身为不善者,君子不入也。	Tử Lộ nói: Ngày trước con nghe thầy giảng người quân tử không đến chỗ kẻ tự làm điều xấu.
‟佛肸以中牟畔,子之往也,如之何？	Nay Phật Hật làm loạn chiếm cứ Trung Mâu, thầy lại muốn đi, sao như vậy?
子曰：然，有是言也。	Khổng tử nói: Đúng ta đã nói vậy.
不曰坚乎,磨而不磷；不曰白乎,涅而不缁。	Nhưng một vật cứng không thể mài mòn được, một vật trắng không thể nhuộm đen được.
吾岂匏瓜也哉？焉能系而不食？	Lẽ nào ta chỉ như cái quả bầu khô treo lên, mà không để người ta ăn được sao?
子曰：由也,女闻六言六蔽矣乎？	Khổng tử nói: Này trò Do, ngươi đã được nghe về 6 đức tốt bị che lấp chưa?
对曰：“未也”。	Tử Lộ đáp: Dạ chưa. Khổng tử bảo: Ngồi xuống, ta nói cho nghe.
居，吾语女。	Ham đức nhân mà không học, gặp cái xấu che lấp là ngu muội. Thích trí tuệ mà không học, gặp cái xấu là phóng đãng.
好仁不好学，其蔽也愚；好知不好学,兲蔽也荡；好信不好学,兲蔽也贼；好直不好学,兲蔽也绞；好勇不好学,兲蔽也乱；好刚不好学,兲蔽也狂。	Trọng chữ tín mà không học, gặp tệ xấu là tổn hại. Ưa tính ngay thẳng mà không học, gặp cái xấu che khuất là nóng nảy. Ham đức dũng mà không học hỏi, gặp thói xấu là phản loạn. Tính cương quyết mà thiếu học hỏi, gặp cái xấu là thành cuồng bạo.
子曰:小子何莫学夫诗。	Khổng tử nói: Sao các trò không học Kinh Thi?
诗,可以兴，可以观，可以群，可以怨。	Học Thi có thể hưng khởi tâm trí (trí tưởng tượng), có khả năng quan sát, hòa hợp quần tụ với người khác, hiểu đúng về oán hận.
迩之事父，远之事君；多识於鸟兽草木之名。	Gần thì biết đạo thờ cha mẹ, xa hơn thì biết thờ vua; Lại còn biết tên nhiều loài chim thú cỏ cây nữa.
子谓伯鱼曰:女为《周南》,《召南》矣乎？	Khổng tử nói với con là Bá Ngư: Con đã học hai bài Chu Nam và Triệu Nam chưa?
人而不为《周南》,《召南》,兲犹正墙面而立也与？	Người nào không đọc hai bài ấy thì như đứng úp mặt vào vách tường vậy.
子曰：礼云礼云，玉帛云乎哉？	Khổng tử nói: Lễ có nghĩa phong phú (vân vân), phải chăng chỉ là tơ lụa ngọc quí!
乐云乐云，钟鼓云乎哉？	Nhạc cần sự hòa hợp chứ phải đâu chỉ là chuông với trống!
子曰：色厉而内荏，譬诸小人，其犹穿窬之盗也与？	Khổng tử nói: Kẻ bề ngoài uy nghi mà bên trong yếu ớt thì cũng như tiểu nhân thôi, cũng như kẻ đào tường khoét vách ăn trộm vậy.
子曰：“乡愿”,德之贼也。	Khổng tử nói: Loại người giả bộ thật thà chất phác, kì thực là kẻ hại đạo.
子曰：道听而涂说，德之弃也。	Khổng tử nói: Cái lối nghe chuyện ngoài đường rồi nói chuyện giữa đường, ấy là bỏ mất cái đức vậy.
子曰：鄙夫可与事君也与哉？	Khổng tử nói: Kẻ thô bỉ lại có thể cùng ta thờ vua được ư?
兲未得之也,患得之。既得之，患失之。苟患失之，无所不至矣。	Khi chưa có địa vị thì cố chạy chọt, khi được rồi thì chỉ sợ mất chức vị. Lo sợ mất chức nên chẳng có việc gì xấu mà kẻ ấy không dám làm.
子曰：古者民有三疾,今也或是之亡也。	Khổng tử nói: Người xưa có ba tật xấu, có lẽ đời nay không còn nữa…
古之狂也肆,今之狂也荡；古之矜也廉，今之矜也忿戾；古之愚也直，今之愚也诈而已矣。	Kẻ cuồng vọng xưa còn ở mức thấp, nay thì cuồng vọng vô hạn độ. Kẻ kiêu căng xưa còn liêm chính, nay thì còn vô lễ liều lĩnh. Người ngu dốt xưa còn có ngay thẳng, ngu thời nay đến mức biết gian trá lừa đảo nữa.
子曰：恶紫之夺朱也，恶郑声之乱雅乐也，恶利口之覆邦家者。	Khổng tử nói: Ta ghét sắc tía cướp mất sắc đỏ, nhạc nước Trịnh lấn át nhạc Nhã, ghét kẻ bẻm mép làm bại hoại nước nhà.
子曰:“予欲无言”。	Khổng tử nói: “Ta chẳng muốn nói gì nữa”.
子贡曰：子如不言，则小子何述焉？	Tử Cống thưa: “Thầy không nói nữa thì chúng con biết đi truyền bá gì nữa”.
子曰：天何言哉？	Khổng tử bảo: Trời có nói gì đâu!
四时行焉，百物生焉，天何言哉？	Bốn mùa vẫn vận hành trôi chảy, muôn vật sinh trưởng, trời có nói gì đâu!.
孺悲欲见孔子，孔子辞以疾。	Nhũ Bi muốn gặp Khổng tử, thầy cáo bệnh không tiếp.
将命者出户,取瑟而歌，使之闻之。	Khi người truyền lệnh bước ra khỏi phòng, Khổng tử liền gảy đàn sắt, có ý cho Nhũ Bi nghe thấy.
宰我问:三年之丧,期已久矣。	Tể Ngã hỏi: Để tang ba năm, như thế quá lâu!
君子三年不为礼,礼必坏;三年不为乐,乐必崩。	Ba năm quân tử không ôn tập việc lễ, lễ sẽ phôi pha. Ba năm không luyện nhạc, nhạc quên hết.
旧谷既没,新谷既升,钻燧改火,期可已矣。	Lúa cũ ăn hết, lúa mới đã chín (một năm) những thứ cây để đánh lửa cũng dùng hết rồi.
子曰：食夫稻,衣夫锦,於女安乎？	Khổng tử hỏi: Ăn gạo thơm, mặc áo gấm (trong lúc để tang) ngươi có an tâm không?
曰：“安”。	Tể Ngã đáp: An tâm.
女安则为之。	Khổng tử bảo: Ngươi an tâm thì cứ làm vậy đi.
夫君子之居丧，食旨不甘，闻乐不乐，居处不安，故不为也。	Quân tử để tang ăn không biết ngon, nghe nhạc mà không vui, ở đâu cũng thấy bất an, lí do để tang (ba năm) là vậy.
今女安，则为之!	Nay ngươi thấy an tâm thì cứ làm đi.
宰我出,子曰：予之不仁也！	Tể Ngã về rồi, Khổng tử nói: Ta cho rằng Tể Ngã là kẻ bất nhân.
子生三年,然后免夫父母之怀，夫三年之丧,天下之通丧也。	Anh ta sinh ra ba năm mới có thể rời khỏi cánh tay ẵm bồng của cha mẹ, thiên hạ đều để tang ba năm.
予也有三年之爱夫其父母乎？	Chẳng lẽ Tể Ngã không được cha mẹ ẵm bồng ba năm sao?
子曰：饱食终日，无所用心，难矣哉！	Khổng tử nói: Người nào suốt ngày chỉ biết ăn no ở không, chẳng bận tâm việc gì, thật khó làm nên.
不有博奕者乎？	Sao chẳng biết chơi cờ bạc?
为之,犹贤乎已。	Thà làm việc ấy còn hơn ngồi không.
子路曰:君子尚勇乎？	Tử Lộ nói: Quân tử có chuộng “dũng” không?
子曰:君子义以为上。	Khổng tử đáp: Quân tử xem nghĩa là trên hết.
君子有勇而无义为乱,小人有勇而无义为盗.	Quân tử có dũng mà bất nghĩa thì làm loạn, tiểu nhân có dũng mà bất nghĩa thì làm trộm cướp.
子贡曰：君子亦有恶乎？	Tử Cống hỏi: Người quân tử có ghét ai không?
子曰：有恶。	Khổng tử nói: Có ghét.
恶称人之恶者，恶居下流而讪上者,恶勇而无礼者，恶果敢而窒者。	Ghét kẻ đi nói xấu người khác, ghét cấp dười gièm pha cấp trên, ghét người dũng mà không giữ lễ, ghét người quả quyết mà không thông hiểu lý lẽ.
曰：赐也亦有恶乎？	Ngươi nói xem có ghét ai không?
“恶徼以为知者,恶不孙以为勇者，恶讦以为直者”。	Tử Cống đáp: Con ghét kẻ hay rình mò người khác mà tự nhận người trí, ghét kẻ thiếu khiêm tốn mà nhận mình là dũng, ghét người bới móc chuyện riêng tư người khác mà tự nhận mình ngay thẳng.
子曰:唯女子与小人为难养也，近之则不孙，远之则怨。	Khổng tử nói: Chỉ có phụ nữ và tiểu nhân là khó dạy nhất, gần gũi thì họ thiếu tôn kính, cách xa thì họ oán giận.
子曰：年四十而见恶焉，其终也已。	Khổng tử nói: Kẻ bốn chục tuổi còn làm điều ác thì không thể tốt được nữa.
微子去之，箕子为之奴，比干谏而死。	Vi Tử từ quan ra đi, Cơ Tử bị giáng làm nô bộc, Tỷ Can vì can ngăn vua mà bị xử tội chết.
孔子曰:“殷有三仁焉”。	Khổng tử nói: Nhà Ân chỉ có ba người ấy là người nhân.
柳下惠为士师，三黜。	Liễu Hạ Huệ làm quan, chức sĩ sư, ba lần bị giáng chức.
人曰：子未可以去乎？	Có người nói: Sao ông chưa bỏ đi?
曰：直道而事人，焉往而不三黜？	Liễu Hạ Huệ đáp: Tôi đem đạo chính trực đi phục vụ người thì ở đâu mà chẳng bị cách chức ba lần như trước đây?
枉道而事人，何必去父母之邦？	Làm vậy là uổng phí đạo phục vụ người, lại còn xa rời đất nước cha mẹ tôi đang ở.
齐景公待孔子曰:“若季氏,则吾不能；以季,孟之间待之”。曰:“吾老矣,不能用也”孔子行。	Vua Tề Cảnh Công tiếp đãi Khổng tử, nói: Đãi như (vua Lỗ) đãi họ Quý (đại phu), ta không làm được; Chỉ đãi như họ Quý tiếp họ Mạnh (quan sĩ) thì ta làm được. Lại nói tiếp: Ta già rồi, không thể dùng ông được nữa. Nghe vậy, Khổng tử liền dời khỏi nước Tề.
齐人归女乐，季桓子受之，三日不朝。	Nước Tề đưa tặng mỹ nữ làm vui, Quý Hoàn tử nhận quà, triều đình ba ngày liền không họp.
孔子行。	Khổng tử liền dời bỏ nước Lỗ.
楚狂接舆歌而过孔子曰:凤兮凤兮！	Cuồng sĩ nước Sở tên Tiếp Dư đi qua xe Khổng tử, hát rằng: Phượng hoàng ơi, phượng hoàng ơi!
何德之衰？	Vì sao đức nhân suy đến thế?
往者不可谏,来者犹可追。	Việc đã qua không thể ngăn cản, việc sắp tới có thể còn kịp.
已而已而！	Thôi đi, thôi đi!
今之从政者殆而!	Làm quan ngày nay nguy lắm đó.
孔子下,欲与之言,趋而辟之,不得与之言。	Khổng tử xuống xe, định nói thì anh kia bỏ đi, khiến ngài không thể tiếp chuyện.
长沮,桀溺耦而耕。孔子过之,使子路问津焉。	Tràng Thư và Kiệt Nịch đang làm ruộng cùng nhau, Khổng tử đi qua đó, bảo Tử Lộ tới hỏi thăm đường đến bến đò.
长沮曰：夫执舆者为谁?	Tràng Thư hỏi Tử Lộ: “Người cầm cương ngựa kia là ai?”.
子路曰：“为孔丘”。	Tử Lộ đáp: “Là thầy Khổng Khâu”.
曰：是鲁孔丘与？	Tràng Thư hỏi lại: Có phải Khổng Khâu nước Lỗ không?
曰：“是也”。	Tử Lộ nói phải.
曰：是知津矣。	Tràng Thư hỏi tiếp: Thế thì Khổng Khâu đã biết bến đò rồi…
问於桀溺。	Tử Lộ hỏi Kiệt Nịch.
桀溺曰：子为谁？	Kiệt Nịch hỏi: Ngươi là ai?
曰：“为仲由”。	Tử Lộ trả lời: Tôi là Trọng Do.
